Korean,Scientific
회화나무,Sophora japonica
느티나무,Zelkova serrata
버즘나무,
왕벚나무,Prunus yedoensis
메타세쿼이아,Metasequoia glyptostroboides
은행나무,Ginkgo biloba
소나무,Pinus densiflora
목련,Magnolia kobus
참나무,
상수리나무,Quercus acutissima
튤립나무,Liriodendron tulipifera
단풍나무,Acer palmatum
칠엽수,Aesculus turbinata
향나무,Juniperus chinensis
후박나무,Machilus thunbergii 
아카시아나무,
청단풍,
양버즘나무,
계수나무,Cercidiphyllum japonicum 
당단풍나무,
오동나무,
스트로브잣나무,Pinus strobus 
능수버들,Salix pseudolasiogyne
현사시나무,
구상나무,Abies koreana
오리나무,Alnus japonica
너도밤나무,
수양버들,
버드나무,Salix koreensis
미루나무,
측백나무,
자작나무,Betula platyphylla var. japonica 
굴참나무,Quercus variabilis 
편백,Chamaecyparis obtusa
벚나무,Prunus serrulata var. spontanea 
고로쇠나무,Acer pictum subsp. mono
갈참나무,Quercus aliena 
밤나무,Castanea crenata
중국단풍,Acer buergerianum
전나무,Abies holophylla
살구나무,Prunus armeniaca var. ansu
가죽나무,
홍단풍,Acer palmatum var. speciosum
이태리포플러,
감나무,Diospyros kaki 
아그배나무,Malus sieboldii 
자귀나무,Albizia julibrissin
자두나무,Prunus salicina
잣나무,Pinus koraiensis 
가문비나무,Picea jezoensis
모과나무,Chaenomeles sinensis
뽕나무,
함박꽃나무,
복자기,Acer triflorum
두충나무,Eucommia ulmoides
벽오동,Firmiana simplex 
동백나무,Camellia japonica
분비나무,
팽나무,Celtis sinensis 
소사나무,Carpinus turczaninowii
대왕참나무,Quercus palustris
독일가문비,Picea abies
보리수나무,Elaeagnus umbellata 
호두나무,Juglans regia
떡갈나무,Quercus dentata
팥배나무,Sorbus alnifolia
가래나무,Juglans mandshurica
고욤나무,Diospyros lotus
대추나무,Zizyphus jujuba
은사시나무,Populus tomentiglandulosa
사시나무,
삼나무,Cryptomeria japonica
은단풍,Acer saccharinum
때죽나무,Styrax japonicus
탱자나무,
백송,Pinus bungeana 
꽃사과,
복자기나무,
층층나무,Cornus controversa 
섬잣나무,
물푸레나무,
이팝나무,Chionanthus retusus
매화나무,
세열단풍,
배롱나무,Lagerstroemia indica
느릅나무,Ulmus davidiana var. japonica
리기다소나무,
주목나무,
일본목련,Magnolia obovata
일본잎갈나무,Larix kaempferi 
위성류,
개암나무,Corylus heterophylla
개잎갈나무,Cedrus deodara
물오리나무,
라일락,
중국굴피나무,
눈향나무,Juniperus chinensis var. sargentii
낙우송,Taxodium distichum
등나무,Wisteria floribunda
히말라야시다,
은백양,
화백,Chamaecyparis pisifera
산사나무,Crataegus pinnatifida
수수꽃다리,Syringa oblata var. dilatata
보호수,
쉬나무,Euodia daniellii 
졸참나무,Quercus serrata
가시나무,Quercus myrsinifolia
신갈나무,Quercus mongolica
산뽕나무,Morus bombycis 
사과나무,
실화백,Chamaecyparis pisifera
복숭아나무,
왕버들,Salix chaenomeloides
음나무,Kalopanax septemlobus
돌배나무,
비자나무,Torreya nucifera
잎갈나무,
백목련,Magnolia denudata
네군도단풍,
포플러나무,
배나무,
신나무,Acer tataricum subsp. ginnala
개오동나무,
가이즈까향나무,
붉나무,Rhus javanica
별목련,Magnolia stellata
자목련,
야광나무,Malus baccata
옥향,
포도나무,
말채나무,Cornus walteri 
결주,
모감주나무,Koelreuteria paniculata
쪽동백나무,Styrax obassia 
참느릅나무,Ulmus parvifolia 
섬피나무,
회나무,
갈매나무,
산벚나무,Prunus sargentii 
서어나무,Carpinus laxiflora
서양측백,Thuja occidentalis
무궁화,Hibiscus syriacus
비술나무,
방크스소나무,
히어리,
명자나무,Chaenomeles japonica
용버들,Salix matsudana f. tortuosa
귀룽나무,Prunus padus
능소화,Campsis grandiflora
거제수나무,
무화과,
겹벚나무,
노간주나무,Juniperus rigida
좁은단풍,
곰솔나무,
석류나무,Punica granatum
설탕단풍,
수원사시나무,
은수원사시,
물박달나무,Betula davurica
고사,
풍단,
눈주목,
수국,Hydrangea macrophylla
괴불나무,Lonicera maackii
사철나무,Euonymus japonicus
마로니에,
산딸나무,Cornus kousa
참오동,
꽃개오동,
장미,Rosa sp.
두릅나무,Aralia elata
생강나무,Lindera obtusiloba
오갈피나무,Eleutherococcus sessiliflorus 
비목나무,Lindera erythrocarpa
닥나무,
산수유,Cornus officinalis
개쉬땅나무,
단풍버즘나무,
양벚나무,
섬벚나무,
들메나무,
매실나무,Prunus mume
참죽나무,
나무수국,Hydrangea paniculata
우산고로쇠,
고무나무,
눈잣나무,
황벽나무,Phellodendron amurense
참빗살나무,Euonymus hamiltonianus
루브라참나무,
쥐똥나무,Ligustrum obtusifolium 
능금나무,
신단풍,
솔송나무,Tsuga sieboldii 
피나무,Tilia amurensis 
백일홍,
양버들,
송양나무,
복나무,
