동명,CO2A_P,CO2A_D,CO2S_P,CO2S_D,Electricity_kWh,Electricity_D,Fuel_MMBtu,Fuel_D,Sum_D,AirSum_P,Runoff_G,Runoff_D,O3_P,NO2A_P,NO2R_P,NO2S_P,SO2A_P,SO2R_P,SO2S_P,VOCA_P,PM2.5A_P,PM2.5R_P,PM2.5S_P
당산1동,11874372.8,276165.57,5556955.5,129237.74,3880655,458806.98,29718.1,479725.68,1422865.85,119199.4,8832798.9,78929.88,28628.4,3756.2,3257.9,7014.1,78187.8,2536.2,80724,365.1,1137,1330.8,2467.8
당산2동,28299665.5,658171.45,12485423.8,290372.3,7854414.2,957112.2,80078.2,1291824.3,3411076.83,161852,23902866.9,213596.58,57896.6,9326.2,8291.5,17617.7,78187.8,2536.2,80724,850.8,2065.9,2697,4762.9
대림1동,5124134.6,119173.56,2688130.7,62517.56,1624635.1,191340.28,13030.4,210450.71,615879.16,97957.4,3625460.2,32397.05,12867.2,1646.4,1480.5,3126.9,78187.8,2536.2,80724,157.9,470.5,610.9,1081.4
대림2동,7147137,166222.47,3299686.9,76740.44,1955594.6,235583.99,19379.3,310668.19,841558.8,102357.1,5857655,52343.71,15643.8,2354,2130.1,4484.1,78187.8,2536.2,80724,215.8,537.2,752.2,1289.4
대림3동,19347182.1,449961.77,8094495.2,188252.94,5043028,604427.78,52503.7,850284.47,2233266.02,135430.9,15704874,140339.06,38789.8,6642.7,5546.4,12189.1,78187.8,2536.2,80724,562.5,1356.3,1809.2,3165.5
도림동,3719231,86498.97,2027966.2,47163.9,1274189.3,153385.43,9139.8,147387.44,460071.86,93214.5,2868869.8,25636.12,9340.5,1158.9,1050.8,2209.7,78187.8,2536.2,80724,130.7,379.5,430.1,809.6
문래동,28841811.6,670779.6,12783156.7,297296.55,8019480.8,963111.42,76878.4,1240008.62,3384578.76,164913.3,23879101.6,213382.57,60502.9,9604,8190.7,17794.7,78187.8,2536.2,80724,857.4,2210,2824.3,5034.3
신길1동,5868930,136495.01,2224767.4,51741.11,2013159.4,235240.85,14730,237335.34,705016.19,97725,4946728.3,44203.88,12444.6,1822.7,1438.9,3261.6,78187.8,2536.2,80724,181.9,572.5,540.4,1112.9
신길3동,7519842.8,174891.76,4268660.8,99276.19,2832138.3,327207.08,17877.6,287401.55,935603.84,108210.2,5240300.3,46827.26,21124.9,2242,2055.7,4297.7,78187.8,2536.2,80724,234.2,842.2,987.2,1829.4
신길4동,1167955.8,27163.62,623777.3,14507.28,651193.2,69397.33,2748.7,44007.91,159373.17,85519,480872.5,4297.03,3820.1,290,311.3,601.3,78187.8,2536.2,80724,37.9,168,167.7,335.7
신길5동,5966889.3,138773.83,3262194,75868.48,2128400.9,249431.87,14603.1,235499.75,734397,102556.3,3896957.3,34823.07,16790.4,1807.4,1647.1,3454.5,78187.8,2536.2,80724,180.4,629.5,777.5,1407
신길6동,12826517.4,298309.47,5221947.9,121446.25,3648011.1,432939.74,33614.3,544502.39,1474290.41,115708.6,8627207.2,77092.56,24973.9,4292,3154,7446,78187.8,2536.2,80724,376.3,1023.4,1165,2188.4
신길7동,6813568.2,158464.64,2465298.9,57335.27,2030244.1,245683.4,18453.1,295504.35,819234.69,100530,6965880.4,62247.03,14348.4,2178.7,1892.1,4070.8,78187.8,2536.2,80724,213.4,546.9,626.5,1173.4
양평1동,15275947.9,355276.54,6599434.3,153482.48,4411689.4,524061.67,39708,643209.4,1784579.92,127027.4,12147450.3,108549.83,33663.2,5089.2,4287.4,9376.6,78187.8,2536.2,80724,449.6,1253.1,1560.9,2814
양평2동,33727942,784416.88,15312302,356116.91,8599973,1068916.55,97380.7,1568558.21,4063860.33,174774.1,31988707.3,285851.78,66089.8,11296.5,10381.5,21678,78187.8,2536.2,80724,997.9,2218.4,3066,5284.4
여의동,85499974.8,1988497.12,24145047.8,561540.37,31585323.4,3526619,227492.4,3655664.59,10109467.46,322215,42205507.1,377146.38,178348.1,26293,18438.9,44731.9,78187.8,2536.2,80724,2692.2,8044,7674.8,15718.8
영등포동,20943526.8,487088.16,8660408.2,201414.28,5213124.8,630636.87,57793.4,936990.25,2425891.21,138628.1,18997427.2,169761.65,40551.7,7279.8,6213.7,13493.5,78187.8,2536.2,80724,609.6,1382.4,1866.9,3249.3
영등포본동,10319007.4,239991,4208276.2,97871.08,3614425.7,399121.26,30202.7,483771.85,1288610.04,110018.8,7593424.9,67854.85,21007.3,3277.6,2963,6240.6,78187.8,2536.2,80724,341.6,777.4,927.9,1705.3
